chembl_id,name,max_phase,therapeutic_flag,molecule_type
CHEMBL6329,,,False,Small molecule
CHEMBL6328,,,False,Small molecule
CHEMBL265667,,,False,Small molecule
CHEMBL6362,,,False,Small molecule
CHEMBL267864,,,False,Small molecule
CHEMBL6363,,,False,Small molecule
CHEMBL6352,,,False,Small molecule
CHEMBL268097,,,False,Small molecule
CHEMBL266457,,,False,Small molecule
CHEMBL268556,,,False,Small molecule
CHEMBL6214,,,False,Small molecule
CHEMBL6222,,,False,Small molecule
CHEMBL6206,BROMOENOL LACTONE,,False,Small molecule
CHEMBL6223,,,False,Small molecule
CHEMBL269758,,,False,Small molecule
CHEMBL6228,,,False,Small molecule
CHEMBL268365,,,False,Small molecule
CHEMBL6230,,,False,Small molecule
CHEMBL6254,,,False,Small molecule
CHEMBL6268,,,False,Small molecule
CHEMBL414196,,,False,Small molecule
CHEMBL268528,,,False,Small molecule
CHEMBL112998,,,False,Small molecule
CHEMBL6266,,,False,Small molecule
CHEMBL6354,,,False,Small molecule
CHEMBL429017,,,False,Small molecule
CHEMBL6361,,,False,Small molecule
CHEMBL6212,,,False,Small molecule
CHEMBL258254,,,False,Small molecule
CHEMBL266885,,,False,Small molecule
CHEMBL446445,UCL-1530,,False,Small molecule
CHEMBL6356,,,False,Small molecule
CHEMBL269729,,,False,Small molecule
CHEMBL6344,,,False,Small molecule
CHEMBL6207,,,False,Small molecule
CHEMBL6315,,,False,Small molecule
CHEMBL266223,,,False,Small molecule
CHEMBL263077,,,False,Small molecule
CHEMBL6347,,,False,Small molecule
CHEMBL6348,,,False,Small molecule
CHEMBL6339,,,False,Small molecule
CHEMBL6340,,,False,Small molecule
CHEMBL268768,,,False,Small molecule
CHEMBL6358,,,False,Small molecule
CHEMBL6351,,,False,Small molecule
CHEMBL6342,,,False,Small molecule
CHEMBL6218,,,False,Small molecule
CHEMBL6219,,,False,Small molecule
CHEMBL6208,,,False,Small molecule
CHEMBL429379,,,False,Small molecule
CHEMBL415285,,,False,Small molecule
CHEMBL264721,,,False,Small molecule
CHEMBL415286,,,False,Small molecule
CHEMBL6226,,,False,Small molecule
CHEMBL6236,,,False,Small molecule
CHEMBL6237,,,False,Small molecule
CHEMBL6238,,,False,Small molecule
CHEMBL266484,,,False,Small molecule
CHEMBL6239,,,False,Small molecule
CHEMBL6240,,,False,Small molecule
CHEMBL6243,,,False,Small molecule
CHEMBL6272,,,False,Small molecule
CHEMBL269496,,,False,Small molecule
CHEMBL6283,,,False,Small molecule
CHEMBL6284,,,False,Small molecule
CHEMBL6277,,,False,Small molecule
CHEMBL268830,,,False,Small molecule
CHEMBL6290,,,False,Small molecule
CHEMBL6308,,,False,Small molecule
CHEMBL268150,,,False,Small molecule
CHEMBL6293,,,False,Small molecule
CHEMBL447227,,,False,Small molecule
CHEMBL6302,,,False,Small molecule
CHEMBL268831,,,False,Small molecule
CHEMBL267915,,,False,Small molecule
CHEMBL2,PRAZOSIN,4.0,True,Small molecule
CHEMBL6306,,,False,Small molecule
CHEMBL415103,,,False,Small molecule
CHEMBL6321,,,False,Small molecule
CHEMBL6323,,,False,Small molecule
CHEMBL6313,,,False,Small molecule
CHEMBL266081,,,False,Small molecule
CHEMBL6314,,,False,Small molecule
CHEMBL6343,,,False,Small molecule
CHEMBL204146,,,False,Small molecule
CHEMBL6355,,,False,Small molecule
CHEMBL6364,,,False,Small molecule
CHEMBL6365,,,False,Small molecule
CHEMBL266458,,,False,Small molecule
CHEMBL6366,,,False,Small molecule
CHEMBL216458,ALPHA-BUNGAROTOXIN,,False,Small molecule
CHEMBL3,NICOTINE,4.0,True,Small molecule
CHEMBL6200,,,False,Small molecule
CHEMBL266886,,,False,Small molecule
CHEMBL269132,,,False,Small molecule
CHEMBL269133,,,False,Small molecule
CHEMBL6346,SCR01020,,False,Small molecule
CHEMBL414181,,,False,Small molecule
CHEMBL6334,,,False,Small molecule
CHEMBL263076,,,False,Small molecule
