chembl_id,target_id,gene
CHEMBL6329,CHEMBL2074,O43451
CHEMBL6329,CHEMBL1971,O60706
CHEMBL6329,CHEMBL1827,O76074
CHEMBL6329,CHEMBL1859,O95180
CHEMBL6329,CHEMBL1884,O96760
CHEMBL6329,CHEMBL202,P00374
CHEMBL6329,CHEMBL1809,GO:0009257
CHEMBL6329,CHEMBL1862,P00519
CHEMBL6329,CHEMBL203,GO:0007166
CHEMBL6329,CHEMBL1852,GO:0003899
CHEMBL6329,CHEMBL204,GO:0009897
CHEMBL6329,CHEMBL1801,P00747
CHEMBL6329,CHEMBL2065,P62593
CHEMBL6329,CHEMBL1910,P00813
CHEMBL6329,CHEMBL205,GO:0004064
CHEMBL6329,CHEMBL1950,P01008
CHEMBL6329,CHEMBL2066,P63316
CHEMBL6329,CHEMBL1813,P02918
CHEMBL6329,CHEMBL206,GO:0045944
CHEMBL6329,CHEMBL2051,GO:0005576
CHEMBL6328,CHEMBL2074,O43451
CHEMBL6328,CHEMBL1971,O60706
CHEMBL6328,CHEMBL1827,O76074
CHEMBL6328,CHEMBL1859,O95180
CHEMBL6328,CHEMBL1884,O96760
CHEMBL6328,CHEMBL202,P00374
CHEMBL6328,CHEMBL1809,GO:0009257
CHEMBL6328,CHEMBL1862,P00519
CHEMBL6328,CHEMBL203,GO:0007166
CHEMBL6328,CHEMBL1852,GO:0003899
CHEMBL6328,CHEMBL204,GO:0009897
CHEMBL6328,CHEMBL1801,P00747
CHEMBL6328,CHEMBL2065,P62593
CHEMBL6328,CHEMBL1910,P00813
CHEMBL6328,CHEMBL205,GO:0004064
CHEMBL6328,CHEMBL1950,P01008
CHEMBL6328,CHEMBL2066,P63316
CHEMBL6328,CHEMBL1813,P02918
CHEMBL6328,CHEMBL206,GO:0045944
CHEMBL6328,CHEMBL2051,GO:0005576
CHEMBL265667,CHEMBL2074,O43451
CHEMBL265667,CHEMBL1971,O60706
CHEMBL265667,CHEMBL1827,O76074
CHEMBL265667,CHEMBL1859,O95180
CHEMBL265667,CHEMBL1884,O96760
CHEMBL265667,CHEMBL202,P00374
CHEMBL265667,CHEMBL1809,GO:0009257
CHEMBL265667,CHEMBL1862,P00519
CHEMBL265667,CHEMBL203,GO:0007166
CHEMBL265667,CHEMBL1852,GO:0003899
CHEMBL265667,CHEMBL204,GO:0009897
CHEMBL265667,CHEMBL1801,P00747
CHEMBL265667,CHEMBL2065,P62593
CHEMBL265667,CHEMBL1910,P00813
CHEMBL265667,CHEMBL205,GO:0004064
CHEMBL265667,CHEMBL1950,P01008
CHEMBL265667,CHEMBL2066,P63316
CHEMBL265667,CHEMBL1813,P02918
CHEMBL265667,CHEMBL206,GO:0045944
CHEMBL265667,CHEMBL2051,GO:0005576
CHEMBL6362,CHEMBL2074,O43451
CHEMBL6362,CHEMBL1971,O60706
CHEMBL6362,CHEMBL1827,O76074
CHEMBL6362,CHEMBL1859,O95180
CHEMBL6362,CHEMBL1884,O96760
CHEMBL6362,CHEMBL202,P00374
CHEMBL6362,CHEMBL1809,GO:0009257
CHEMBL6362,CHEMBL1862,P00519
CHEMBL6362,CHEMBL203,GO:0007166
CHEMBL6362,CHEMBL1852,GO:0003899
CHEMBL6362,CHEMBL204,GO:0009897
CHEMBL6362,CHEMBL1801,P00747
CHEMBL6362,CHEMBL2065,P62593
CHEMBL6362,CHEMBL1910,P00813
CHEMBL6362,CHEMBL205,GO:0004064
CHEMBL6362,CHEMBL1950,P01008
CHEMBL6362,CHEMBL2066,P63316
CHEMBL6362,CHEMBL1813,P02918
CHEMBL6362,CHEMBL206,GO:0045944
CHEMBL6362,CHEMBL2051,GO:0005576
CHEMBL267864,CHEMBL2074,O43451
CHEMBL267864,CHEMBL1971,O60706
CHEMBL267864,CHEMBL1827,O76074
CHEMBL267864,CHEMBL1859,O95180
CHEMBL267864,CHEMBL1884,O96760
CHEMBL267864,CHEMBL202,P00374
CHEMBL267864,CHEMBL1809,GO:0009257
CHEMBL267864,CHEMBL1862,P00519
CHEMBL267864,CHEMBL203,GO:0007166
CHEMBL267864,CHEMBL1852,GO:0003899
CHEMBL267864,CHEMBL204,GO:0009897
CHEMBL267864,CHEMBL1801,P00747
CHEMBL267864,CHEMBL2065,P62593
CHEMBL267864,CHEMBL1910,P00813
