diseaseid,disease_name,disease_type,drug_id,drug_name,drug_type,approval_status
C0002395,alzheimer's disease,disease,CHEMBL2,prazosin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL3,nicotine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL4,ofloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL5,nalidixic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL6,indomethacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL403,sulbactam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL404,tazobactam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL8,ciprofloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL9,norfloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL405,amphetamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL6622,isosorbide dinitrate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL6437,mianserin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL11,imipramine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL406,indapamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL407,flumazenil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL408,troglitazone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL409,bicalutamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL12,diazepam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL13,metoprolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL411,diethylstilbestrol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL267936,mecamylamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL14,carbachol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL16,phenytoin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL413,sirolimus,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL269732,tacrolimus anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL415,clomipramine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL416,methoxsalen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL17,dichlorphenamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL18,ethoxzolamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL417,epirubicin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL19,methazolamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL20,acetazolamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL419,mafenide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL21,sulfanilamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL420,guanabenz,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL22,trimethoprim,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL6966,verapamil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL421,sulfasalazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL6466,coumarin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL23,diltiazem,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL24,atenolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL25,aspirin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL422,trifluoperazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL423,betaxolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL425,olsalazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL27,propranolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL6995,practolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL427,mechlorethamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL29,penicillin g,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL428,trovafloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL30,cimetidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL31,gatifloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL429,labetalol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL32,moxifloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL33,levofloxacin anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL430,gemifloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL431,spirapril,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL433,valproate sodium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL434,isoproterenol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL435,hydrochlorothiazide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL35,furosemide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL36,pyrimethamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL436,tolrestat,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL437,sulfathiazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL438,sulfamerazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL439,sulfadiazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL440,thiamylal,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL441,thiopental,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL268164,cyclobarbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL442,ergotamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL38,tretinoin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL7413,methohexital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL40,phenobarbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL41,fluoxetine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL443,sulfamethoxazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL42,clozapine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL445,nortriptyline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL446,sulfamethazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL447,secobarbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL448,pentobarbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL7568,quinacrine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL267894,amobarbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL7728,hexobarbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL449,butabarbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL7863,aprobarbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL450,metharbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL451,chlordiazepoxide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL266349,melagatran,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL452,clonazepam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL453,sulfisoxazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL268869,sulfamethoxypyridazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL454,butalbital,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL455,sulfacetamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL43,amsacrine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL456,ethacrynic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL267744,ticrynafen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL457,gemfibrozil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL45,melatonin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL46,ondansetron,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL49,buspirone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL459,methyldopa,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL460,molindone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL53,apomorphine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL54,haloperidol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL55,pentamidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL463,aminohippuric acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL464,etretinate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL57,nevirapine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL465,dronabinol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL58,mitoxantrone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL59,dopamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL467,hydroxyurea,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL61,podofilox,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL64,isoniazid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL468,thalidomide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL469,ketorolac,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL471,sotalol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL472,glyburide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL9225,hexestrol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL473,dofetilide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL476,dacarbazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL477,adenosine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL479,thioridazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL480,lansoprazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL481,irinotecan,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL70,morphine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL485,codeine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL71,chlorpromazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL72,desipramine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL488,aminoglutethimide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL74,cromolyn sodium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL76,chloroquine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL490,paroxetine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL416146,etoricoxib,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL79,lidocaine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL492,etidocaine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL80,naloxone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL81,raloxifene,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL83,tamoxifen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL493,bromocriptine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL494,iloprost,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL84,topotecan,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL85,risperidone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL428880,cromolyn,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL86,metoclopramide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL428647,paclitaxel,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL495,alprostadil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL496,hexachlorophene,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL497,clioquinol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL10878,agomelatine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL88,cyclophosphamide anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL498,chlorpropamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL499,timolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL500,pindolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL11359,cisplatin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL276832,hydralazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL501,amphetamine sulfate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL267345,amphotericin b,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL90,histamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL91,miconazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL92,docetaxel anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL93,zileuton,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL95,tacrine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL502,donepezil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL503,lovastatin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL11662,ozagrel,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL269644,acetanilide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL504,dimethyl sulfoxide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL505,chlorpheniramine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL506,primaquine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL509,meclofenamic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL511,pyrilamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL12713,sertindole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL513,carmustine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL514,lomustine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL515,chlorambucil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL516,cyproheptadine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL12856,inamrinone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL517,disopyramide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL98,vorinostat,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL521,ibuprofen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL13376,clometacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL13280,flunitrazepam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL524,methoxamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL526,propofol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL527,piroxicam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL528,ceftizoxime,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL101,phenylbutazone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL529,azithromycin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL530,amdinocillin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL531,pergolide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL532,erythromycin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL533,ibutilide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL103,progesterone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL534,ketotifen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL535,sunitinib,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL537,hydroquinone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL539,acetic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL14060,phenol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL544,mequinol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL104,clotrimazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL105,mitomycin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL545,alcohol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL546,oxprenolol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL106,fluconazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL547,isotretinoin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL14376,iloperidone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL548,dinoprostone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL278020,neostigmine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL14370,reboxetine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL549,citalopram,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL550,pilocarpine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL107,colchicine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL553,erlotinib,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL554,lapatinib,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL108,carbamazepine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL109,valproic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL277100,temafloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL110,benznidazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL556,deferoxamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL558,mexiletine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL559,dextrothyroxine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL111,rimonabant,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL273575,nomifensine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL561,lomefloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL562,griseofulvin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL563,flurbiprofen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL564,promazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL565,clofibrate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL112,acetaminophen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL113,caffeine,Small molecule,Investigational
