stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000001008,9606.ENSP00000451828,FKBP4,AKT1,9606,0.914,0,0,0,0.06,0.045,0,0.912
9606.ENSP00000001008,9606.ENSP00000363822,FKBP4,AR,9606,0.928,0,0,0,0.047,0.338,0.8,0.5
9606.ENSP00000001008,9606.ENSP00000303754,FKBP4,PPID,9606,0.937,0.041,0,0,0.175,0.095,0.4,0.877
9606.ENSP00000001008,9606.ENSP00000437125,FKBP4,HSPA8,9606,0.942,0,0,0,0.174,0.093,0.5,0.863
9606.ENSP00000001008,9606.ENSP00000254322,FKBP4,DNAJB1,9606,0.957,0,0,0,0.115,0.071,0.105,0.949
9606.ENSP00000001008,9606.ENSP00000354558,FKBP4,MTOR,9606,0.961,0,0,0,0.067,0.91,0,0.578
9606.ENSP00000001008,9606.ENSP00000444810,FKBP4,FKBP5,9606,0.972,0,0,0.063,0.049,0,0.9,0.73
9606.ENSP00000001008,9606.ENSP00000325120,FKBP4,PGR,9606,0.977,0,0,0,0.047,0.102,0.8,0.885
9606.ENSP00000001008,9606.ENSP00000262719,FKBP4,PHLPP1,9606,0.993,0,0,0,0,0.183,0,0.992
9606.ENSP00000001008,9606.ENSP00000231509,FKBP4,NR3C1,9606,0.996,0,0,0,0.049,0.643,0.8,0.954
9606.ENSP00000001008,9606.ENSP00000302961,FKBP4,HSPA4,9606,0.998,0,0,0,0.288,0.33,0,0.996
9606.ENSP00000001008,9606.ENSP00000360609,FKBP4,HSP90AB1,9606,0.999,0,0,0,0.333,0.656,0.5,0.998
9606.ENSP00000001008,9606.ENSP00000335153,FKBP4,HSP90AA1,9606,0.999,0,0,0,0.332,0.869,0.5,0.998
9606.ENSP00000003302,9606.ENSP00000272317,USP28,RPS27A,9606,0.932,0,0,0,0.062,0.926,0,0.1
9606.ENSP00000003302,9606.ENSP00000478887,USP28,MYC,9606,0.966,0,0,0,0,0.791,0.7,0.507
9606.ENSP00000003302,9606.ENSP00000474725,USP28,FBXW7,9606,0.966,0,0,0,0.067,0.31,0,0.952
9606.ENSP00000003302,9606.ENSP00000441543,USP28,UBC,9606,0.991,0,0,0,0.055,0.99,0,0.177
9606.ENSP00000003302,9606.ENSP00000371475,USP28,TP53BP1,9606,0.998,0,0,0,0.122,0.786,0,0.993
9606.ENSP00000011653,9606.ENSP00000363089,CD4,TLR4,9606,0.902,0,0,0,0.128,0.097,0,0.886
9606.ENSP00000011653,9606.ENSP00000263851,CD4,IL7,9606,0.909,0,0,0,0,0,0,0.909
9606.ENSP00000011653,9606.ENSP00000292301,CD4,CCR2,9606,0.909,0,0,0,0.184,0.091,0,0.888
9606.ENSP00000011653,9606.ENSP00000216225,CD4,RBX1,9606,0.914,0,0,0,0,0,0.9,0.179
9606.ENSP00000011653,9606.ENSP00000346839,CD4,FN1,9606,0.916,0,0,0,0,0.092,0,0.912
