disease_id,disease_name,drug_id,drug_name,overlap_score
C0021368,inflammation,CHEMBL25,aspirin,0.5
C0006142,breast cancer,CHEMBL472,glyburide,0.2
C0011849,diabetes mellitus,CHEMBL472,glyburide,0.2
C0011849,diabetes mellitus,CHEMBL642,acebutolol,0.0
C0011849,diabetes mellitus,CHEMBL643,promethazine,0.0
C0011849,diabetes mellitus,CHEMBL131,prednisolone,0.0
C0011849,diabetes mellitus,CHEMBL644,trimipramine,0.0
C0011849,diabetes mellitus,CHEMBL645,bisoprolol,0.0
C0002395,alzheimer's disease,CHEMBL2,prazosin,0.0
C0011849,diabetes mellitus,CHEMBL640,procainamide,0.0
C0011849,diabetes mellitus,CHEMBL646,triazolam,0.0
C0011849,diabetes mellitus,CHEMBL647,apraclonidine,0.0
C0011849,diabetes mellitus,CHEMBL648,cyclizine,0.0
C0011849,diabetes mellitus,CHEMBL434394,nebivolol,0.0
C0011849,diabetes mellitus,CHEMBL650,methylprednisolone,0.0
C0011849,diabetes mellitus,CHEMBL651,methadone,0.0
C0011849,diabetes mellitus,CHEMBL641,atomoxetine,0.0
C0011849,diabetes mellitus,CHEMBL130,chloramphenicol,0.0
C0011849,diabetes mellitus,CHEMBL134,clonidine,0.0
C0011849,diabetes mellitus,CHEMBL639,azelastine,0.0
C0011849,diabetes mellitus,CHEMBL638,voriconazole,0.0
C0011849,diabetes mellitus,CHEMBL129,zidovudine,0.0
C0011849,diabetes mellitus,CHEMBL637,venlafaxine,0.0
C0011849,diabetes mellitus,CHEMBL636,rivastigmine,0.0
C0011849,diabetes mellitus,CHEMBL635,prednisone,0.0
C0011849,diabetes mellitus,CHEMBL634,alfentanil,0.0
C0011849,diabetes mellitus,CHEMBL633,amiodarone,0.0
C0011849,diabetes mellitus,CHEMBL632,betamethasone,0.0
C0011849,diabetes mellitus,CHEMBL631,propafenone,0.0
C0011849,diabetes mellitus,CHEMBL128,sumatriptan,0.0
C0011849,diabetes mellitus,CHEMBL24944,tribromsalan,0.0
C0011849,diabetes mellitus,CHEMBL652,flecainide,0.0
C0011849,diabetes mellitus,CHEMBL655,midazolam,0.0
C0011849,diabetes mellitus,CHEMBL654,mirtazapine,0.0
C0011849,diabetes mellitus,CHEMBL629,amitriptyline,0.0
C0011849,diabetes mellitus,CHEMBL686,mefenamic acid,0.0
C0011849,diabetes mellitus,CHEMBL139,diclofenac,0.0
C0011849,diabetes mellitus,CHEMBL685,mebendazole,0.0
C0011849,diabetes mellitus,CHEMBL684,diethylcarbamazine,0.0
C0011849,diabetes mellitus,CHEMBL682,amodiaquine,0.0
C0011849,diabetes mellitus,CHEMBL681,etomidate,0.0
C0011849,diabetes mellitus,CHEMBL680,cefaclor anhydrous,0.0
C0011849,diabetes mellitus,CHEMBL679,epinephrine,0.0
C0011849,diabetes mellitus,CHEMBL677,levonordefrin,0.0
C0011849,diabetes mellitus,CHEMBL675,alendronate sodium,0.0
C0011849,diabetes mellitus,CHEMBL673,pargyline,0.0
C0011849,diabetes mellitus,CHEMBL672,fenofibrate,0.0
C0011849,diabetes mellitus,CHEMBL671,thiotepa,0.0
C0011849,diabetes mellitus,CHEMBL669,cyclobenzaprine,0.0
C0011849,diabetes mellitus,CHEMBL668,protriptyline,0.0
C0011849,diabetes mellitus,CHEMBL137,metronidazole,0.0
C0011849,diabetes mellitus,CHEMBL667,acetylcholine,0.0
C0011849,diabetes mellitus,CHEMBL666,foscarnet,0.0
C0011849,diabetes mellitus,CHEMBL21731,maprotiline,0.0
C0011849,diabetes mellitus,CHEMBL661,alprazolam,0.0
C0011849,diabetes mellitus,CHEMBL660,amantadine,0.0
C0011849,diabetes mellitus,CHEMBL659,galantamine,0.0
C0011849,diabetes mellitus,CHEMBL658,sufentanil,0.0
C0011849,diabetes mellitus,CHEMBL657,diphenhydramine,0.0
C0011849,diabetes mellitus,CHEMBL135,estradiol,0.0
C0011849,diabetes mellitus,CHEMBL656,oxycodone,0.0
C0011849,diabetes mellitus,CHEMBL22242,remoxipride,0.0
C0011849,diabetes mellitus,CHEMBL21869,dibromsalan,0.0
C0011849,diabetes mellitus,CHEMBL628,pentoxifylline,0.0
C0011849,diabetes mellitus,CHEMBL689,mannitol,0.0
C0011849,diabetes mellitus,CHEMBL596,fentanyl,0.0
C0011849,diabetes mellitus,CHEMBL276568,"cefprozil anhydrous, (e)-",0.0
C0011849,diabetes mellitus,CHEMBL603,zafirlukast,0.0
C0011849,diabetes mellitus,CHEMBL19019,naltrexone,0.0
C0011849,diabetes mellitus,CHEMBL602,cysteamine,0.0
C0011849,diabetes mellitus,CHEMBL601,aminolevulinic acid,0.0
C0011849,diabetes mellitus,CHEMBL600,acetylcysteine,0.0
C0011849,diabetes mellitus,CHEMBL599,meloxicam,0.0
C0011849,diabetes mellitus,CHEMBL18116,toloxatone,0.0
C0011849,diabetes mellitus,CHEMBL18442,plerixafor,0.0
C0011849,diabetes mellitus,CHEMBL597,phentolamine,0.0
C0011849,diabetes mellitus,CHEMBL17860,lofexidine,0.0
C0011849,diabetes mellitus,CHEMBL17879,maralixibat chloride,0.0
C0011849,diabetes mellitus,CHEMBL121,rosiglitazone,0.0
C0011849,diabetes mellitus,CHEMBL595,pioglitazone,0.0
C0011849,diabetes mellitus,CHEMBL626,naftifine,0.0
C0011849,diabetes mellitus,CHEMBL594,emedastine,0.0
C0011849,diabetes mellitus,CHEMBL593,delavirdine,0.0
C0011849,diabetes mellitus,CHEMBL592,levorphanol,0.0
C0011849,diabetes mellitus,CHEMBL17157,terfenadine,0.0
C0011849,diabetes mellitus,CHEMBL591,ethchlorvynol,0.0
C0011849,diabetes mellitus,CHEMBL590,menadione,0.0
C0011849,diabetes mellitus,CHEMBL589,ropinirole,0.0
C0011849,diabetes mellitus,CHEMBL588,fenoldopam,0.0
C0011849,diabetes mellitus,CHEMBL119,trimetrexate,0.0
C0011849,diabetes mellitus,CHEMBL118,celecoxib,0.0
C0011849,diabetes mellitus,CHEMBL16476,pronetalol,0.0
C0011849,diabetes mellitus,CHEMBL585,triamterene,0.0
C0011849,diabetes mellitus,CHEMBL116,amprenavir,0.0
C0011849,diabetes mellitus,CHEMBL122,rofecoxib,0.0
C0011849,diabetes mellitus,CHEMBL19236,moxonidine,0.0
C0011849,diabetes mellitus,CHEMBL604,cupric sulfate,0.0
C0011849,diabetes mellitus,CHEMBL605,procainamide hydrochloride,0.0
C0011849,diabetes mellitus,CHEMBL21536,xanomeline,0.0
C0011849,diabetes mellitus,CHEMBL625,thiabendazole,0.0
C0011849,diabetes mellitus,CHEMBL623,nefazodone,0.0
C0011849,diabetes mellitus,CHEMBL21333,pranlukast,0.0
C0011849,diabetes mellitus,CHEMBL622,etodolac,0.0
C0011849,diabetes mellitus,CHEMBL621,trazodone,0.0
C0011849,diabetes mellitus,CHEMBL127,meropenem,0.0
C0011849,diabetes mellitus,CHEMBL620,clidinium,0.0
C0011849,diabetes mellitus,CHEMBL126,linezolid,0.0
C0011849,diabetes mellitus,CHEMBL125,miltefosine,0.0
C0011849,diabetes mellitus,CHEMBL617,cephalothin,0.0
C0011849,diabetes mellitus,CHEMBL615,penicillin v,0.0
C0011849,diabetes mellitus,CHEMBL282042,saquinavir mesylate,0.0
C0011849,diabetes mellitus,CHEMBL19449,ibudilast,0.0
C0011849,diabetes mellitus,CHEMBL614,pyrazinamide,0.0
C0011849,diabetes mellitus,CHEMBL282724,sitaxentan,0.0
C0011849,diabetes mellitus,CHEMBL612,dextroamphetamine,0.0
C0011849,diabetes mellitus,CHEMBL19393,levamfetamine,0.0
C0011849,diabetes mellitus,CHEMBL611,terazosin,0.0
C0011849,diabetes mellitus,CHEMBL19490,zomepirac,0.0
C0011849,diabetes mellitus,CHEMBL609,trientine,0.0
C0011849,diabetes mellitus,CHEMBL19299,loxoprofen,0.0
C0011849,diabetes mellitus,CHEMBL608,probucol,0.0
C0011849,diabetes mellitus,CHEMBL282052,methaqualone,0.0
